category,laureate_id,laureate_name,prize_year,decade,pub_year,title,paper_id,is_prize_winning_paper,author_count
Physics,10073,"lederman, lm",1988,1980,1962.0,observation of high energy neutrino reactions and the existence of two kinds of neutrinos,2000744791.0,YES,7
Physics,10074,"muller, ka",1987,1980,1986.0,possible high tc superconductivity in the ba la cu o system,1485300768.0,YES,2
Physics,10075,"bednorz, jg",1987,1980,1986.0,possible high tc superconductivity in the ba la cu o system,1485300768.0,YES,2
Physics,10076,"binnig, g",1986,1980,1982.0,surface studies by scanning tunneling microscopy,2110167104.0,YES,4
Physics,10076,"binnig, g",1986,1980,1982.0,scanning tunneling microscopy,2412866415.0,YES,
Physics,10077,"rohrer, h",1986,1980,1982.0,surface studies by scanning tunneling microscopy,2110167104.0,YES,4
Physics,10078,"ruska, e",1986,1980,1932.0,beitrag zur geometrischen elektronenoptik ii,2120730528.0,YES,2
Physics,10079,"vonklitzing, k",1985,1980,1980.0,new method for high accuracy determination of the fine structure constant based on quantized hall resistance,2061000251.0,YES,3
Physics,10080,"rubbia, c",1984,1980,1983.0,experimental observation of lepton pairs of invariant mass around 95 gev c2 at the cern sps collider,1996888950.0,YES,100
Physics,10080,"rubbia, c",1984,1980,1983.0,experimental observation of isolated large transverse energy electrons with associated missing energy at sqrt s 540 gev,1674199955.0,YES,100
Physics,10081,"vandermeer, s",1984,1980,1983.0,experimental observation of isolated large transverse energy electrons with associated missing energy at sqrt s 540 gev,1674199955.0,YES,100
Physics,10081,"vandermeer, s",1984,1980,1983.0,experimental observation of lepton pairs of invariant mass around 95 gev c2 at the cern sps collider,1996888950.0,YES,100
Physics,10082,"fowler, wa",1983,1980,1951.0,excited states of the mirror nuclei li7 and be7,2075687768.0,YES,4
Physics,10083,"chandrasekhar, s",1983,1980,1931.0,the maximum mass of ideal white dwarfs,2606047231.0,YES,1
Physics,10084,"wilson, kg",1982,1980,1971.0,renormalization group and critical phenomena 1 renormalization group and the kadanoff scaling picture,2246296081.0,YES,1
Physics,10084,"wilson, kg",1982,1980,1971.0,renormalization group and critical phenomena 2 phase space cell analysis of critical behavior,2079216472.0,YES,1
Physics,10085,"siegbahn, k",1981,1980,1956.0, ray spectroscopy in the precision range of 1 105,1993527439.0,YES,2
Physics,10086,"schawlow, al",1981,1980,1958.0,infrared and optical masers,1964347990.0,YES,2
Physics,10087,"bloember, n",1981,1980,1962.0,light waves at the boundary of nonlinear media,2109537480.0,YES,2
Physics,10087,"bloember, n",1981,1980,1962.0,interactions between light waves in a nonlinear dielectric,2020687655.0,YES,4
Physics,10088,"cronin, jw",1980,1980,1964.0,evidence for the 2 pi decay of the k2 0 meson,2078141585.0,YES,4
Physics,10089,"fitch, v",1980,1980,1964.0,evidence for the 2 pi decay of the k2 0 meson,2078141585.0,YES,4
Physics,10090,"salam, a",1979,1970,,,2078536640.0,YES,2
Physics,10091,"weinberg, s",1979,1970,1967.0,a model of leptons,2070151728.0,YES,1
Physics,10092,"glashow, sl",1979,1970,1961.0,partial symmetries of weak interactions,2232454336.0,YES,1
Physics,10093,"kapitza, pl",1978,1970,1938.0,viscosity of liquid helium below the  point,2029604900.0,YES,1
Physics,10094,"wilson, rw",1978,1970,1965.0,a measurement of excess antenna temperature at 4080 mc s,1997756830.0,YES,2
Physics,10095,"penzias, aa",1978,1970,1965.0,a measurement of excess antenna temperature at 4080 mc s,1997756830.0,YES,2
Physics,10096,"mott, n",1977,1970,1949.0,the basis of the electron theory of metals with special reference to the transition metals,1972068641.0,YES,1
